"siteid","longitude","latitude"
"090031003",-72.631667,41.7847220009375
"090032006",-72.634444,41.7425000009373
"090050004",-73.07908,41.64486
"090050005",-73.297222,41.821389
"090090026",-72.894167,41.2911110009356
"090090027",-72.902778,41.301111
"090091123",-72.916944,41.310833
"090092008",-72.919722,41.331389
"090092123",-73.043611,41.550556
"090113002",-72.076667,41.524167
"100010002",-75.555556,38.984722
"100010003",-75.518056,39.155
"100031003",-75.491944,39.761111
"100031007",-75.730833,39.551111
"100031012",-75.761667,39.691944
"100032004",-75.558056,39.739444
"100051002",-75.613056,38.644444
"110010041",-76.952778,38.8972220009222
"110010042",-77.0325,38.880833
"110010043",-77.0125,38.9188890009224
"120010023",-82.391389,29.703333
"120010024",-82.408333,29.658333
"120051004",-85.614444,30.144167
"120090007",-80.628611,28.053889
"120111002",-80.237778,26.082778
"120112004",-80.127778,26.217222
"120113002",-80.160556,26.000833
"120170005",-82.7,28.980556
"120310098",-81.634167,30.135556
"120310099",-81.548056,30.355833
"120330004",-87.204167,30.525
"120570030",-82.509722,27.931944
"120573002",-82.2304,27.96565
"120710005",-81.878889,26.602778
"120730012",-84.348333,30.439722
"120860033",-80.32639,25.94167
"120861016",-80.206111,25.794167
"120866001",-80.483333,25.471389
"120951004",-81.345556,28.550833
"120952002",-81.363056,28.599444
"120990009",-80.234,26.731
"120992005",-80.093057,26.457778
"121030018",-82.74,27.785556
"121031009",-82.782231,27.985945
"121056006",-81.972222,28.029167
"121111002",-80.40833,27.448889
"121150013",-82.5075,27.290556
"121171002",-81.31,28.745556
"121275002",-81.053056,29.206667
"130210007",-83.6410957170754,32.7774546618939
"130210012",-83.5435207771381,32.8054078807878
"130510017",-81.1439897999549,32.0929574236342
"130510091",-81.161847291718,32.1107589811929
"130590002",-83.3443973958273,33.9180619935984
"130630091",-84.3910282855092,33.6098670082424
"130670003",-84.6074074370014,34.0154817406774
"130670004",-84.661514174984,33.8993204380828
"130890002",-84.29018,33.6880800008712
"130892001",-84.2799026498526,33.9013891407839
"130950007",-84.100194,31.5769170008422
"131150005",-85.304826,34.2631980008783
"131210032",-84.3897080443764,33.8195641072743
"131210039",-84.4355764444111,33.8023295376589
"131210048",-84.3957602656662,33.7793300454935
"131270006",-81.4958808085103,31.1697348649688
"131350002",-84.069193,33.963074
"131390003",-83.8139,34.3003420008787
"131530001",-83.597907,32.6056000008569
"131850003",-83.29325,30.8486000008311
"132150001",-84.980977,32.4835430008552
"132150008",-84.9446297565709,32.5212710049288
"132150011",-84.9317524390188,32.431118298462
"132230003",-85.04548,33.92855
"132450005",-81.9914264197168,33.4691640436876
"132450091",-82.0222604053819,33.4340299213502
"132950002",-85.3009,34.9789000008866
"133030001",-82.8087596489985,32.9748809769073
"133190001",-83.3337754314212,32.8818287921778
"160010010",-116.347897,43.600264
"160010011",-116.270278,43.636111
"160050020",-112.455,42.978333
"160090010",-116.57028,47.316667
