"siteid","longitude","latitude"
"160190011",-112.04645,43.464700000942
"160190013",-112.020708,43.518267
"160270002",-116.562676,43.58031
"160270004",-116.563232,43.562401
"160490002",-116.115278,45.931389
"160490003",-116.0275,46.2094
"160550006",-116.76553,47.682315
"160570005",-116.95918,46.721932
"160590004",-113.892222,45.170556
"160690012",-116.968889,46.404722
"160690013",-116.8062,46.3972
"160690014",-116.5359,46.335
"160770011",-112.535556,42.9125
"160790017",-116.236667,47.536389
"160830010",-114.4462,42.564097
"160850002",-116.1065,44.890197
"170310001",-87.7324568962847,41.6709918952829
"170310022",-87.5393154841479,41.6871654376343
"170310057",-87.7227234452095,41.9128621248178
"170310076",-87.7134881520007,41.7513999786378
"170314201",-87.799226916843,42.139996190948
"170316006",-87.8258724913966,41.8728971999587
"170434002",-88.1525336515249,41.7710709444974
"170650002",-88.6249434004072,38.0821551646727
"170990007",-89.0494249823753,41.2930145430615
"171110001",-88.2422073399828,42.221441662101
"171150013",-88.925594450544,39.866833885022
"171191007",-90.1396748417377,38.7045342604079
"171430037",-89.5847372162892,40.6970070002047
"171630010",-90.1604766324869,38.6120344810656
"180030004",-85.101944,41.094722
"180890022",-87.304722,41.606667
"180970078",-86.114469,39.811097
"180970081",-86.214628,39.7889030009279
"181410015",-86.214683,41.696692
"181570008",-86.8525,40.431639
"181630012",-87.569444,38.021667
"181670018",-87.401389,39.486111
"190450021",-90.17757390303,41.8749989322255
"191130037",-91.678611,42.008333
"191130038",-91.633889,41.941111
"191130040",-91.68766,41.97677
"191370002",-95.0449513637102,40.969112348093
"191471002",-94.6935183656697,43.1237041866616
"191530030",-93.6433,41.6031833009368
"191630015",-90.5876108140407,41.5300106207475
"191770006",-92.006318,40.695078
"201070002",-94.731944,38.135833
"201950001",-99.763611,38.770278
"202090021",-94.635556,39.1175
"210190017",-82.640556,38.459167
"210373002",-84.474453,39.0218060009231
"210590005",-87.075556,37.780833
"210610501",-86.148056,37.131389
"210670012",-84.5,38.065
"210930006",-85.851667,37.706389
"211010014",-87.463333,37.871389
"211110027",-85.57648,38.1378400009167
"211110043",-85.81566,38.2331900009174
"211110048",-85.73195,38.2402400009175
"211110051",-85.89804,38.0609100009161
"211170007",-84.525,39.0725
"211451024",-88.5725,37.058056
"211830032",-86.956097,37.319725
"211950002",-82.535278,37.482778
"212218001",-87.851944,36.783889
"212270008",-86.250556,37.036667
"220150008",-93.74891,32.53626
"220190008",-93.284167,30.261667
"220330009",-91.17922,30.46198
"220330013",-91.055833,30.700278
"220511001",-90.275,30.043333
"220570004",-90.765183,29.763889
"220630002",-90.8125,30.3125
"220710012",-90.102778,29.994444
"220870007",-89.976263,29.94475
"221030001",0,0
"221030002",-90.199683,30.4293040008245
"221210001",-91.213556,30.5006430008256
"230010011",-70.214219,44.089406
"230031100",-68.033006,46.696431
"230050029",-70.2683636867032,43.6602699565523
"230090103",-68.2609,44.37705
"230190002",-68.7691069764869,44.7987960360058
"230210004",-69.592266,45.464926
"240150003",-75.86,39.701111
"240230002",-79.012,39.70595
"240290002",-75.797333,39.305
"240330030",-76.878333,39.055277
"240430009",-77.721944,39.565556
"245100040",-76.604722,39.298056
"250030006",-73.2542327639379,42.4477814005179
"250051004",-71.1691706842265,41.6832787375998
"250092006",-70.9713576033713,42.474671140797
"250095005",-71.1022593236029,42.7707695768784
"250130016",-72.5906135168269,42.1085813165092
"250154002",-72.3339036395052,42.298278685904
"250213003",-71.1138644951909,42.2116738930995
"250250042",-71.0825,42.3294
"250250043",-71.0542,42.3631
"250270023",-71.7941862493375,42.2638765826064
"260170014",-83.8907206820599,43.5713906134716
"260490021",-83.6701590874905,43.0472241917062
"260650012",-84.5346331541108,42.7386178741674
"260770008",-85.5418899211592,42.2780666736986
"260810020",-85.671338742329,42.9841730428365
"261130001",-84.8918653238824,44.3105554203758
"261470005",-82.4562287816265,42.9533362711269
"261530001",-85.9502269219365,46.2888771607497
"261610008",-83.5996022282151,42.2405654781129
"261630001",-83.2082000228824,42.2286201358284
"261630033",-83.1487538477324,42.3066744897716
"261630038",-83.1095634607954,42.3350082369507
"261630039",-83.0684730957608,42.3233412725865
"270031002",-93.20772,45.1376800009432
"270052013",-95.846272,46.851811
"270177416",-92.52377,46.7052700009415
"270317810",-89.69098,47.972085
"270353204",-94.1303,46.396740000942
"270370470",-93.23725,44.7384600009432
"270530963",-93.25821,44.9536600009432
"270530969",-93.23828,44.9005700009432
"270750005",-91.495574,47.948622
"270834210",-95.81789,44.4438000009431
"271095008",-92.450366,43.996908
"271230871",-93.03587,44.9593900009432
"271377551",-92.13354,46.7664300009414
"271453052",-94.13345,45.549839
"271713201",-93.66921,45.2091600009432
"280110001",-90.723028,33.746056
"280330002",-89.98783,34.82166
"280470008",-89.0497776193734,30.390369181243
"280490010",-90.1410062024884,32.3857579716315
"280590006",-88.5339846151597,30.378424717804
"280750003",-88.731491343876,32.3645652793284
"280810005",-88.766222,34.264917
"290210005",-94.858584090462,39.7416944853212
"290390001",-94.034811,37.700861
"290470005",-94.376623026462,39.3030901054594
"290770032",-93.2848742279675,37.1995410208818
"290950034",-94.5707955942568,39.104758368956
"290990012",-90.3614921876566,38.4378299785231
"290990019",-90.398540387747,38.44863278671
"291860005",-90.42388,37.90084
"291893001",-90.3459359801602,38.6414380327018
"295100085",-90.1987592812932,38.6564849437283
"300130001",-111.302778,47.494167
"300290009",-114.333611,48.399722
"300290047",-114.305556,48.2025
"300310006",-111.068134739532,45.7262226915862
"300310013",-111.090833,44.657778
"300310016",-111.105890533125,44.6613927595439
"300310017",-111.08958,44.6570300009432
"300490018",-112.035278,46.603889
"300530018",-115.548056,48.384167
"300810007",-114.159807756885,46.2455167212424
"300930009",-112.53662,45.9987900009426
"301110085",-108.511528,45.782185
"310550019",-95.973128,41.245947
"311090022",-96.68302,40.81259
"320030020",-115.092222,36.245278
"320030022",-114.90681,36.390775
"320030298",-115.056944,36.052222
"320030561",-115.11393,36.163994
"320031019",-115.35706,35.785634
"320032002",-115.122222,36.191111
"330050007",-72.277778,42.930556
"330074002",-71.225,44.290556
"330090010",-72.226083,43.62957
"330110020",-71.468056,43.000556
"330115001",-71.878613,42.861901
"330150014",-70.748056,43.075278
"340010006",-74.448736,39.464872
"340030004",-73.967772,40.854583
"340070003",-75.097617,39.923042
"340110007",-75.025204,39.422273
"340171003",-74.05229,40.725454
"340190001",-74.806753,40.515253
"340230006",-74.422515,40.472786
"340390004",-74.208365,40.64144
"340392003",-74.276174,40.603943
"350010019",-106.56359,35.107280000888
"350010027",-106.69715,35.1539000008886
"350010029",-106.65739,35.017080000887
"350011013",-106.613815,35.193240000889
"350130016",-106.599167,32.003611
"350130017",-106.5575,31.795833
"350130021",-106.583889,31.796111
"350130022",-106.682778,31.787778
"350151005",-104.262222,32.38
"350250008",-103.122917,32.726656
"350439004",-106.724444,35.615278
"350450018",-107.65158,36.80973
"350490020",-105.953611,35.671111
"350490021",-106.07968,35.6197500008936
"350550005",-105.583333,36.383333
"350610008",-106.7396,34.8147
"360010005",-73.75464,42.64225
"360050110",-73.902,40.81618
"360050112",-73.88553,40.81551
"360050113",-73.92612,40.80833
"360290005",-78.8095260117327,42.8769066671345
"360291013",-78.91859,42.98844
"360291014",-78.89926,42.99813
"360291015",-78.906425,42.981312
"360296002",-78.943842,42.968563
"360310003",-73.8589,44.39308
"360470052",-74.01871,40.64182
"360470118",-73.92769,40.69454
"360470121",-73.99298,40.68419
